track_id,name,count,album,artist_1,artist_2,artist_3,duration_ms,explicit,genre_1,genre_2,genre_3,genre_4,genre_5
3OrI7MO3lL6F4dUYS5rCkz,Nova Scotia 500,1,Goose Bumps,Boyscott,,,192542,False,,,,,
7KwJrAQMoJyUEBes3evMLv,Orpheus Under the Influence,1,Buttertones,The Buttertones,,,134080,False,,,,,
7vGALlsJJto8lMaoFHnjNe,Maps to the Stars,1,Heaven Surrounds You,Surf Curse,,,158922,False,,,,,
2N8EnxvfQuWKNvR6sn1ap9,Surfer Girl,1,Classically Trained,The Band Ice Cream,,,271056,False,,,,,
6ixkZ2Q9gQeh52C6GxbETg,Kids,1,Kids,Current Joys,,,269142,False,indie,rock,lofi,instrumental,bedroom indie
2rf0ZGDzh4QuttIxg80Ghm,Hunny Bunnies,1,Hoodratscumbags,Beach Goons,,,120790,True,,,,,
6YPcj2X35vEyxSAvMBOsth,Ponyboy,1,Buds,Surf Curse,,,160432,False,,,,,
4FMyAa7jAyWgiGUpRE5Ef8,Petty Crime,1,Petty Crime,Vundabar,,,222769,False,,,,,
08VmsF8pxSVk0cWPAGdSj2,Grass Eater,1,Head Space,The Mellowells,,,228680,False,,,,,
4uqQf7hIp6l9OdCtJ97E22,Blackout Control,1,All Inclusive Romantic Getaway,Spendtime Palace,,,181121,False,,,,,
2En9hPrl1Z2raU3CeYleUI,Steel Birds,1,Steel Birds,Slow Pulp,,,203500,False,,,,,
7vlX33qkhVUSMUe0wpTOyc,Holy Toledo,1,Antics,Vundabar,,,320075,True,,,,,
6Y1uOJrfSVnapAbL8WKmmf,I Luv Robert Smith,1,Mt. Eddy,Mt. Eddy,,,209664,True,,,,,
1ZVKwJ1pdGEPol8kuOatBC,Mustang,1,Everyone Is Good at Something,Skegss,,,183673,True,,,,,
4liqePwMTcdyuJXHd9pdch,All Is Lost,1,Nothing Yet,Surf Curse,,,156500,False,,,,,
5qi48cLnhicoPalwaeztMB,Fantasising,1,Rehearsal,Skegss,,,207653,False,,,,,
76c1AuZodByXM3X2k48wju,Dope on a Rope,1,City Club,The Growlers,,,250320,False,,,,,
7LcmuGeSXQzQlteW3yGtWb,Thy Mission,1,Thy Mission,The Garden,Mac DeMarco,,221000,True,,,,,
6l6LgnyNHL3U6UgSx5Aiph,Lets Go Surfing,2,The Drums,The Drums,,,175426,False,,,,,
6Ps04Nfh2PySU4fIPZWxrU,A Rush and a Push and the Land Is Ours - 2011 Remaster,1,"Strangeways, Here We Come",The Smiths,,,183013,False,,,,,
5tQkgG7unCiJxaOFp5yc5O,Badillac,1,Badillac,Together Pangea,,,147880,False,,,,,
71U7k9l1euqfmGMiAddU9O,Too Drunk to Come,1,Living Dummy,Together Pangea,,,150152,False,,,,,
1s9U4QrS2iqXEPuKK7PPLS,Man in the Sixties,1,Quiet Dreamer,Balue,,,222000,False,,,,,
0455TNxuFqkgk4SUPumXdS,L.I.N.E.,1,L.I.N.E.,Beach Fossils,,,191737,False,,,,,
2cP8RV40nIufHrVQRWwnkG,My Head Hurts,1,V,Wavves,,,169520,False,,,,,
